nombre_distribucion_voto,actor_politico,porcentaje_votacion,voto_actor_politico,total_votos,num_votos_nulos,porcentaje_votos_nulos,num_votos_can_nreg,porcentaje_can_nreg,casillas,secciones,municipios,distritos
Por Total de votos,PAN,10.5803617,26686,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PRI,20.2381236,51045,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PRD,0.9329083,2353,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PVEM,4.358462,10993,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PT,2.7816765,7016,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,MC,7.7705355,19599,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,MORENA,45.9178819,115815,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PAN_PRI_PRD,1.3392963,3378,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PAN_PRI,0.3782382,954,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PAN_PRD,0.0273569,69,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PRI_PRD,0.0677974,171,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PVEM_PT_MORENA,2.3649801,5965,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PVEM_PT,0.132423,334,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PVEM_MORENA,0.4848903,1223,252222,5172,2.0505745,182,0.0721587,599,197,0,0
Por Total de votos,PT_MORENA,0.5023352,1267,252222,5172,2.0505745,182,0.0721587,599,197,0,0
